Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) média,DY (6M) média,DY (12M) média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. Período,Rentab. Patr. Acumulada,Quant. Ativos,Volatilidade,Num. Cotistas,Tax. Gestão,Tax. Performance,Tax. Administração
RURA11,Indefinido,"8,93","2.788.864,95","0,86","0,12","1,33 %","4,00 %","8,08 %","16,38 %","1,33 %","1,35 %","1,37 %","5,29 %","-2,28 %","-0,98 %","18,87 %","1.651.445.126,96","10,32","0,87","1,16 %","0,00 %","0,00 %","0,00 %",0,"1.013,66",98.780,N/A,"20,00 % a.a","1,00 % a.a"
RVBI11,Fundo de Fundos,"60,23","604.022,78","0,87","0,65","1,01 %","3,22 %","6,62 %","13,78 %","1,07 %","1,10 %","1,15 %","1,01 %","2,92 %","3,96 %","3,96 %","1.365.872.089,15","74,23","0,81","0,94 %","-11,65 %","-10,82 %","-5,26 %",14,"18,57",81.798,"0,80 % a.a","20,00 % a.a","0,13 % a.a"
RZAG11,Indefinido,"9,39","1.147.712,25","0,94","0,12","1,30 %","3,85 %","8,32 %","17,61 %","1,28 %","1,39 %","1,47 %","5,47 %","-2,22 %","-0,95 %","9,99 %","678.867.056,27","9,98","0,94","1,20 %","4,42 %","5,67 %","18,85 %",0,"1.248,27",88.431,N/A,"10,00 % a.a","1,15 % a.a"
RZAK11,Papéis,"85,19","1.171.309,95","0,97","1,1","1,29 %","3,98 %","8,27 %","17,74 %","1,33 %","1,38 %","1,48 %","1,29 %","3,37 %","4,70 %","4,70 %","778.297.836,10","88,2","0,97","1,25 %","-5,88 %","-4,71 %","5,56 %",14,"677,36",45.103,N/A,"15,00 % a.a","1,25 % a.a"
RZAT11,Imóveis Industriais e Logísticos,"95,99","608.854,60","0,76","1,4","1,49 %","3,63 %","6,70 %","14,15 %","1,21 %","1,12 %","1,18 %","4,71 %","2,04 %","3,56 %","15,04 %","533.305.565,88",N/A,N/A,N/A,N/A,N/A,N/A,12,"1.099,71",34.114,N/A,"20,00 % a.a","1,00 % a.a"
RZEO11,Indefinido,"187,78","3.610,00","1,03","3,8","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"576.700.738,05","182,4","1,03","2,08 %","0,00 %","0,00 %","0,00 %",0,"4.159,96",155,N/A,"20,00 % a.a","1,15 % a.a"
RZLC11,Papéis,"1.008,80","2.478.402,50","1,01","13,02","1,28 %","3,59 %","7,49 %","14,19 %","1,20 %","1,25 %","1,18 %","4,91 %","0,22 %","1,50 %","9,09 %","161.055.076,85",N/A,N/A,N/A,N/A,N/A,N/A,0,"4.752,08",159,N/A,N/A,N/A
RZTR11,Misto,"95,03","1.885.879,70","1,04",1,"1,01 %","3,06 %","6,38 %","13,78 %","1,02 %","1,06 %","1,15 %","2,03 %","0,56 %","1,58 %","4,02 %","1.729.501.522,37","92,74","1,02","1,08 %","-4,81 %","-3,79 %","7,26 %",28,"920,88",148.461,"1,25 % a.a","20,00 % a.a",N/A
RZZI11,Misto,"982,82","2.000.000,00","0,75","5,6","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"145.380.583,21",N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,116,N/A,N/A,N/A
RZZR11,Imóveis Industriais e Logísticos,"134,4","83.573,10","0,76","1,23","0,89 %","2,69 %","5,43 %","9,98 %","0,90 %","0,91 %","0,83 %","3,61 %","1,56 %","2,46 %","5,08 %","980.280.591,13",N/A,N/A,N/A,N/A,N/A,N/A,10,"4.708,45",537,N/A,N/A,"0,25 % a.a"
RZZV11,Misto,"1.028,34","105.000,00","0,86","7,65","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"207.079.870,27",N/A,N/A,N/A,N/A,N/A,N/A,1,"9.206,88",131,N/A,N/A,N/A
SALI11,Misto,N/A,N/A,N/A,"0,9","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"7.537.685,07",N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,2,N/A,N/A,N/A
SAPI11,Misto,"9,26","308.674,00","0,93","0,11","1,18 %","3,57 %","8,56 %","17,29 %","1,19 %","1,43 %","1,44 %","5,90 %","0,32 %","1,51 %","17,25 %","295.837.093,90",N/A,N/A,N/A,N/A,N/A,N/A,14,"1.332,82",13.093,N/A,N/A,"1,00 % a.a"
SARE11,Misto,"4,8","348.855,00","0,95","0,03","0,57 %","0,00 %","0,00 %","2,97 %","0,00 %","0,00 %","0,25 %","4,18 %","-1,50 %","-0,94 %","36,24 %","464.915.874,22","7,75","0,62","0,34 %","-91,79 %","-91,76 %","-91,52 %",2,"1.517,93",26.586,N/A,N/A,"1,25 % a.a"
SCPF11,Shoppings,"2,8","1.541,25","0,29","0,02","0,67 %","0,67 %","0,67 %","0,67 %","0,67 %","0,67 %","0,67 %","0,67 %","-36,10 %","-35,68 %","-35,68 %","41.584.648,05","11,84","0,24","0,38 %","1,11 %","1,49 %","-3,03 %",1,"7.796,67",4.230,N/A,N/A,"4,00 % a.a"
SDIL11,Imóveis Industriais e Logísticos,"96,5","1.030.917,86","1,01","0,75","0,76 %","2,49 %","5,22 %","10,27 %","0,83 %","0,87 %","0,86 %","6,12 %","2,04 %","2,82 %","10,51 %","612.048.658,06","98,33","0,98","0,83 %","-0,22 %","0,61 %","9,86 %",5,"14,97",63.292,N/A,N/A,"0,84 % a.a"
SEED11,Indefinido,"98,34",200,"1,07","0,89","0,00 %","0,00 %","0,00 %","3,85 %","0,00 %","0,00 %","0,32 %","0,00 %","0,00 %","0,00 %",N/A,"150.428.655,55",N/A,N/A,N/A,N/A,N/A,N/A,14,"2.273,69",131,N/A,N/A,N/A
SEQR11,Misto,"55,01","29.165,15","0,56","0,58","1,05 %","3,25 %","6,83 %","14,63 %","1,08 %","1,14 %","1,22 %","2,13 %","3,24 %","4,33 %","8,63 %","163.324.143,15","97,65","0,56","0,60 %","4,15 %","4,77 %","10,91 %",4,"1.867,64",4.285,N/A,"20,00 % a.a","1,24 % a.a"
SHOP11,Shoppings,30,"705.270,71","0,96","6,75","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"78.441.044,78",N/A,N/A,N/A,N/A,N/A,N/A,1,"23.766,69",94,N/A,N/A,N/A
SHPH11,Shoppings,915,"67.184,05","0,89","5,3","0,58 %","1,73 %","3,07 %","8,91 %","0,58 %","0,51 %","0,74 %","2,10 %","-0,11 %","0,47 %","8,32 %","630.918.740,98","1.036,08","0,88","0,51 %","15,87 %","16,46 %","22,20 %",1,"2.609,26",2.045,N/A,N/A,"0,20 % a.a"
SHPP11,Shoppings,11,"4.171.355,57","1,02","0,05","0,47 %","0,47 %","1,36 %","3,96 %","0,47 %","0,23 %","0,44 %","0,47 %","0,00 %","0,00 %",N/A,"444.417.462,89",N/A,N/A,N/A,N/A,N/A,N/A,0,"17.566,82",122,N/A,N/A,N/A
SHSO11,Indefinido,N/A,N/A,N/A,"0,42","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"118.155.565,38",N/A,N/A,N/A,N/A,N/A,N/A,14,N/A,8.102,N/A,N/A,N/A
SIGR11,Indefinido,"99,9",100,"10,74","1,3","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","1,32 %","0,00 %","0,00 %",N/A,"182.987.415,91",N/A,N/A,N/A,N/A,N/A,N/A,14,"1,55",10.712,N/A,N/A,N/A
SJAU11,Imóveis Industriais e Logísticos,4,"2.710,30","0,34","20,13","231,65 %","0,00 %","0,00 %","848,21 %","0,00 %","0,00 %","424,11 %","848,21 %","58,29 %","424,96 %","424,96 %","11.836.484,45",N/A,N/A,N/A,N/A,N/A,N/A,14,"90.230,88",773,N/A,N/A,N/A
SMRE11,Incorporações,"65,55","133.322,75","0,62","1,01","1,55 %","4,54 %","9,09 %","17,44 %","1,51 %","1,52 %","1,45 %","6,17 %","-5,75 %","-4,29 %","4,90 %","105.478.408,03",N/A,N/A,N/A,N/A,N/A,N/A,14,"10.451,42",1.233,"0,78 % a.a",N/A,"0,22 % a.a"
SNAG11,Papéis,"10,69","1.815.038,55","1,05","0,12","1,11 %","4,35 %","8,13 %","15,86 %","1,45 %","1,36 %","1,32 %","5,54 %","-0,09 %","1,02 %","9,91 %","654.376.892,13","10,17","1,05","1,47 %","-89,96 %","-89,81 %","-89,48 %",0,"771,03",127.462,"8,00 % a.a",N/A,"0,07 % a.a"
SNCI11,Papéis,"90,85","345.554,15","0,93",1,"1,14 %","3,58 %","7,24 %","14,56 %","1,19 %","1,21 %","1,21 %","1,14 %","5,84 %","7,05 %","7,05 %","409.411.257,92","98,73","0,92","1,01 %","1,37 %","2,39 %","12,52 %",14,"1.311,95",35.664,"0,70 % a.a",N/A,"0,15 % a.a"
SNEL11,Fundo de Desenvolvimento,"8,54","3.538.627,00","1,05","0,1","1,17 %","3,50 %","7,12 %","14,77 %","1,17 %","1,19 %","1,23 %","4,67 %","-1,38 %","-0,23 %","8,83 %","899.334.074,56",N/A,N/A,N/A,N/A,N/A,N/A,14,"686,17",86.899,"1,08 % a.a","20,00 % a.a","0,12 % a.a"
SNFF11,Fundo de Fundos,"75,5","315.887,95","0,86","0,8","1,01 %","4,01 %","7,72 %","14,23 %","1,34 %","1,29 %","1,19 %","1,01 %","6,72 %","7,80 %","7,80 %","349.065.876,95","87,14","0,87","0,92 %","-1,55 %","-0,64 %","1,02 %",14,"1.371,52",26.290,N/A,"10,00 % a.a","0,73 % a.a"
SNFZ11,Misto,"9,74","272.759,35","0,99","0,1","1,03 %","3,08 %","6,21 %","12,04 %","1,03 %","1,04 %","1,00 %","4,12 %","-0,20 %","0,82 %","6,37 %","119.347.627,85","9,87","0,99","1,01 %","0,00 %","0,00 %","0,00 %",0,"2.048,70",12.073,"0,87 % a.a","20,00 % a.a","0,13 % a.a"
SNID11,Indefinido,"10,9","157.723,75",N/A,"0,13","1,17 %","3,50 %","7,09 %","14,75 %","1,17 %","1,18 %","1,23 %","4,67 %","-0,98 %","0,18 %","2,00 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"1.840,12",0,"0,85 % a.a",N/A,"0,10 % a.a"
SNME11,Indefinido,"9,6","146.854,00","1,01","0,1","1,04 %","3,15 %","7,96 %","16,00 %","1,05 %","1,33 %","1,33 %","4,72 %","0,21 %","1,25 %","8,64 %","70.436.743,07",N/A,N/A,N/A,N/A,N/A,N/A,2,"1.424,26",7.066,"0,79 % a.a","20,00 % a.a","0,20 % a.a"
SOFF11,Misto,"96,9","2.688,88","0,95",1,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"188.155.795,05",N/A,N/A,N/A,N/A,N/A,N/A,0,"5.536,43",308,N/A,N/A,N/A
SOLR11,Imóveis Comerciais - Outros,"1.051,35","4.931.882,00","1,15","4,77","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"59.969.896,58",N/A,N/A,N/A,N/A,N/A,N/A,1,"121,75",28,N/A,N/A,N/A
SPDE11,Indefinido,"1.266,67","2.533,30","0,8",8,"0,00 %","0,00 %","0,00 %","0,46 %","0,00 %","0,00 %","0,46 %","0,00 %","0,00 %","0,00 %",N/A,"144.124.508,66",N/A,N/A,N/A,N/A,N/A,N/A,14,"954,53",120,N/A,N/A,N/A
SPMO11,Indefinido,122,"27.770,25","0,74","0,43","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"299.503.520,60",N/A,N/A,N/A,N/A,N/A,N/A,14,"4.425,29",15,N/A,N/A,N/A
SPTW11,Lajes Corporativas,"40,18","106.156,00","0,74","0,45","1,08 %","3,92 %","7,55 %","15,50 %","1,31 %","1,26 %","1,29 %","2,70 %","12,43 %","13,64 %","16,11 %","97.445.821,39","54,2","0,74","0,83 %","-2,76 %","-1,96 %","12,58 %",1,"1.614,84",17.101,N/A,N/A,"0,25 % a.a"
SPVJ11,Shoppings,N/A,N/A,N/A,"0,12","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"153.909.868,75","24,38",N/A,"0,49 %","-79,03 %","-78,92 %","-75,51 %",14,N/A,23,N/A,N/A,"0,20 % a.a"
SPXS11,Indefinido,"8,62","532.905,70","0,92","0,09","1,04 %","3,47 %","7,37 %","14,88 %","1,16 %","1,23 %","1,24 %","2,18 %","-3,08 %","-2,07 %","6,67 %","190.658.136,85",N/A,N/A,N/A,N/A,N/A,N/A,14,"1.394,77",20.353,N/A,"20,00 % a.a","0,80 % a.a"
SRVD11,Indefinido,3,"233,91","18,75","0,2","2,29 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","3,30 %","-9,79 %","-7,73 %","-7,73 %","15.820.599,11","1,19","2,53","16,87 %","-0,11 %","16,74 %","25,64 %",14,"375,98",108,N/A,N/A,N/A
STRX11,Fundo de Desenvolvimento,"141,96",141,"0,93","0,82","0,00 %","0,00 %","0,65 %","2,28 %","0,00 %","0,65 %","0,19 %","0,00 %","0,00 %","0,00 %",N/A,"246.756.664,14","152,86","0,93","0,54 %","3,06 %","3,61 %","16,17 %",3,"3.279,54",111,N/A,N/A,N/A
SURE11,Indefinido,N/A,N/A,N/A,"0,6","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"114.475.375,61",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,1,N/A,N/A,N/A
TCPF11,Misto,"39,53",N/A,"0,4","1,31","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"29.569.867,67",N/A,N/A,N/A,N/A,N/A,N/A,14,N/A,48,N/A,N/A,N/A
TELM11,Indefinido,"9,5","19.245,63","0,94","0,1","1,05 %","3,06 %","9,45 %","13,10 %","1,02 %","1,58 %","1,09 %","8,05 %","-4,90 %","-3,91 %","10,51 %","31.249.730,21",N/A,N/A,N/A,N/A,N/A,N/A,2,"7.268,26",279,"0,90 % a.a","20,00 % a.a",N/A
TEPP11,Lajes Corporativas,"9,08","1.291.823,75","0,94","0,08","0,86 %","2,59 %","5,37 %","12,79 %","0,86 %","0,90 %","1,07 %","1,72 %","0,69 %","1,56 %","4,60 %","480.708.770,91","9,56","0,95","0,78 %","-90,01 %","-89,93 %","-88,77 %",5,"1.177,96",40.600,"0,90 % a.a",N/A,"0,13 % a.a"
TGAR11,Fundo de Desenvolvimento,"70,15","4.410.084,60","0,64","0,72","1,01 %","2,83 %","6,33 %","13,82 %","0,94 %","1,06 %","1,15 %","3,93 %","-11,12 %","-10,22 %","-12,43 %","2.605.248.432,44","110,54","0,63","0,65 %","-13,49 %","-12,93 %","-2,91 %",8,"2.253,23",144.117,"1,28 % a.a","30,00 % a.a","0,22 % a.a"
TJKB11,Indefinido,"259,15","872.199,10","0,5","2,9","1,13 %","3,36 %","6,95 %","14,61 %","1,12 %","1,16 %","1,22 %","1,13 %","-4,82 %","-3,75 %","-3,75 %","604.559.582,47",N/A,N/A,N/A,N/A,N/A,N/A,9,"1.726,89",648,N/A,N/A,"0,60 % a.a"
TMPS11,Fundo de Fundos,"75,02","202.625,60","0,91","0,85","0,98 %","2,94 %","6,17 %","12,84 %","0,98 %","1,03 %","1,07 %","3,99 %","-1,56 %","-0,60 %","14,58 %","93.707.587,02",N/A,N/A,N/A,N/A,N/A,N/A,14,"1.546,27",1.875,N/A,"20,00 % a.a","0,90 % a.a"
TOPP11,Imóveis Comerciais - Outros,"71,18","629.719,50","0,67","0,84","1,16 %","3,41 %","7,07 %","14,87 %","1,14 %","1,18 %","1,24 %","4,57 %","-3,23 %","-2,11 %","11,31 %","481.171.170,52",N/A,N/A,N/A,N/A,N/A,N/A,2,"1.470,25",4.852,N/A,N/A,N/A
TORD11,Misto,"1,53","15.803,80","0,04","0,01","0,32 %","0,93 %","2,12 %","5,67 %","0,93 %","0,35 %","0,47 %","1,29 %","-6,67 %","-6,37 %","-23,90 %","212.583.174,34","13,94","0,11","0,36 %","8,23 %","8,62 %","12,48 %",2,"2.436,12",46.674,N/A,"20,00 % a.a","1,50 % a.a"
TRBL11,Imóveis Industriais e Logísticos,"77,25","1.012.739,00","0,96","0,85","1,09 %","2,98 %","5,71 %","11,81 %","0,99 %","0,95 %","0,98 %","3,76 %","-0,95 %","0,13 %","29,56 %","625.325.727,60",N/A,N/A,N/A,N/A,N/A,N/A,5,"2.330,13",44.361,N/A,N/A,"0,84 % a.a"
TRNT11,Lajes Corporativas,110,"10.280,10","0,66","0,07","0,06 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,71 %","0,00 %","0,00 %",N/A,"652.098.161,86","197,64","0,56","0,04 %","0,38 %","0,42 %","-0,87 %",1,"3.305,35",500,N/A,N/A,"0,75 % a.a"
TRXB11,Fundo de Desenvolvimento,"176,21","5.759.805,55","1,77",1,"0,54 %","3,10 %","11,11 %","19,72 %","1,03 %","1,85 %","1,64 %","5,60 %","1,25 %","1,80 %","32,14 %","401.317.527,44",N/A,N/A,N/A,N/A,N/A,N/A,11,"5.552,78",781,N/A,N/A,N/A
TRXF11,Imóveis Comerciais - Outros,"91,79","16.577.306,80","0,92","0,93","0,97 %","2,91 %","5,78 %","12,23 %","0,97 %","0,96 %","1,02 %","1,99 %","-2,63 %","-1,69 %","-3,92 %","6.241.874.154,24","100,95","0,91","0,92 %","-4,27 %","-3,39 %","12,12 %",91,"777,85",269.169,"1,00 % a.a","20,00 % a.a",N/A
TRXY11,Outros,"8,94","166.543,15",1,"0,11","1,21 %","3,52 %","7,52 %","15,48 %","1,17 %","1,25 %","1,29 %","4,92 %","-5,70 %","-4,56 %","12,03 %","316.100.483,82",N/A,N/A,N/A,N/A,N/A,N/A,0,"2.725,25",2.139,N/A,"20,00 % a.a","1,00 % a.a"
TSER11,Lajes Corporativas,108,540,"1,13","1,01","0,00 %","0,00 %","0,00 %","1,96 %","0,00 %","0,00 %","0,16 %","0,00 %","0,00 %","0,00 %",N/A,"142.487.182,87",N/A,N/A,N/A,N/A,N/A,N/A,1,"4.859,54",18,N/A,N/A,N/A
TVRI11,Agências de Bancos,"98,17","832.999,75","0,94","1,05","1,05 %","3,11 %","6,48 %","13,80 %","1,04 %","1,08 %","1,15 %","4,18 %","-0,83 %","0,21 %","12,56 %","1.658.717.579,19",N/A,N/A,N/A,N/A,N/A,N/A,58,"973,55",58.314,N/A,N/A,"0,28 % a.a"
URHF11,Outros,"72,72","3.504,20","0,73","1,05","1,42 %","4,21 %","9,01 %","18,55 %","1,40 %","1,50 %","1,55 %","5,78 %","0,19 %","1,61 %","10,29 %","10.704.931,85",N/A,N/A,N/A,N/A,N/A,N/A,14,"3.752,23",294,N/A,"20,00 % a.a","1,25 % a.a"
URPR11,Papéis,"32,26","415.243,05","0,33","0,35","0,90 %","2,93 %","6,23 %","13,92 %","0,98 %","1,04 %","1,16 %","1,82 %","2,36 %","3,28 %","26,17 %","1.211.591.957,57","103,26","0,31","0,34 %","4,50 %","4,86 %","29,80 %",14,"2.733,15",63.411,"0,95 % a.a","20,00 % a.a","0,25 % a.a"
VANG11,Indefinido,101,"22.402,33",N/A,1,"0,00 %","0,00 %","0,00 %","1,01 %","0,00 %","0,00 %","0,11 %","4,98 %","0,00 %","0,00 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"25.373,22",0,N/A,N/A,N/A
VCJR11,Papéis,"80,8","1.828.294,40","0,86","0,88","1,09 %","3,05 %","6,58 %","15,04 %","1,02 %","1,10 %","1,25 %","2,04 %","-0,76 %","0,32 %","8,33 %","1.387.296.004,50","94,92","0,85","0,93 %","0,71 %","1,64 %","14,63 %",14,"1.210,73",28.295,N/A,N/A,"1,60 % a.a"
VCRA11,Indefinido,"65,18","431.647,30","0,63","1,07","1,70 %","4,33 %","9,20 %","18,27 %","1,44 %","1,53 %","1,52 %","5,85 %","-9,42 %","-7,88 %","10,48 %","472.119.864,54","102,77","0,63","0,83 %","0,38 %","1,21 %","2,69 %",0,"1.435,88",9.875,N/A,N/A,"1,30 % a.a"
VCRI11,Papéis,"7,55","272.198,80","0,79","0,09","1,15 %","3,70 %","7,54 %","15,98 %","1,23 %","1,26 %","1,33 %","2,43 %","5,41 %","6,62 %","13,18 %","195.704.924,29","9,55","0,79","0,94 %","1,06 %","2,01 %","3,82 %",14,"1.628,11",13.104,N/A,"20,00 % a.a","0,95 % a.a"
VCRR11,Imóveis Residenciais,"64,05","244.843,55","0,6","0,4","0,60 %","1,83 %","4,06 %","9,00 %","0,61 %","0,68 %","0,75 %","2,58 %","4,73 %","5,36 %","0,00 %","208.157.480,43","104,08","0,62","0,38 %","-18,84 %","-18,53 %","-6,66 %",4,"2.590,65",2.840,N/A,"15,00 % a.a","0,80 % a.a"
VGHF11,Misto,"6,91","2.108.707,00","0,8","0,07","0,99 %","2,95 %","5,92 %","13,47 %","0,98 %","0,99 %","1,12 %","3,94 %","-2,35 %","-1,38 %","7,03 %","1.424.582.533,58","8,65","0,8","0,81 %","-5,57 %","-4,80 %","7,41 %",14,"996,57",383.457,"0,90 % a.a","20,00 % a.a",N/A
VGIA11,Indefinido,"9,86","1.956.344,95","1,02","0,14","1,41 %","4,29 %","8,87 %","18,12 %","1,43 %","1,48 %","1,51 %","5,73 %","-0,30 %","1,10 %","11,24 %","1.024.520.468,78","9,66","1,02","1,50 %","1,38 %","2,90 %","11,28 %",0,"1.100,03",173.128,"1,15 % a.a","10,00 % a.a",N/A
VGII11,Tecidos. Vestuário e Calçados,"73,74",73,"1,01","0,5","0,00 %","1,32 %","1,32 %","1,32 %","0,44 %","0,22 %","0,11 %","1,32 %","0,00 %","0,00 %",N/A,"37.631.495,96",N/A,N/A,N/A,N/A,N/A,N/A,14,"19.885,52",6,N/A,N/A,N/A
VGIP11,Papéis,"80,21","1.930.629,35","0,88","0,71","0,87 %","2,91 %","5,84 %","14,92 %","0,97 %","0,97 %","1,24 %","0,87 %","3,44 %","4,34 %","4,34 %","1.074.809.310,75","90,93","0,88","0,78 %","0,54 %","1,33 %","10,14 %",14,"1.432,55",84.102,N/A,"20,00 % a.a","1,00 % a.a"
VGIR11,Papéis,"9,8","3.144.875,45",1,"0,13","1,33 %","4,08 %","8,41 %","16,59 %","1,36 %","1,40 %","1,38 %","1,33 %","2,30 %","3,66 %","3,66 %","1.432.131.432,70","9,83",1,"1,32 %","1,97 %","3,32 %","-88,63 %",1,"787,23",264.154,"0,80 % a.a","20,00 % a.a","0,20 % a.a"
VGRI11,Misto,"6,75","762.490,20","0,79","0,08","0,89 %","3,70 %","8,34 %","17,80 %","1,23 %","1,39 %","1,48 %","5,18 %","-1,18 %","-0,30 %","18,86 %","306.587.864,53",N/A,N/A,N/A,N/A,N/A,N/A,5,"1.908,47",26.499,N/A,N/A,"1,30 % a.a"
VHFA11,Misto,"10,19","3.299,90","1,01","0,11","1,07 %","3,83 %","6,60 %","8,24 %","1,28 %","1,10 %","0,69 %","3,83 %","-2,18 %","-1,14 %","0,74 %","96.030.329,02","10,13","1,01","1,48 %","0,00 %","0,00 %","0,00 %",0,"5.192,55",189,N/A,"20,00 % a.a","1,30 % a.a"
VIDS11,Fundo de Desenvolvimento,"915,64",N/A,"1,22","16,06","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"70.871.916,39",N/A,N/A,N/A,N/A,N/A,N/A,14,"0,42",199,N/A,N/A,N/A
VIFI11,Fundo de Fundos,"6,96","30,26","0,87","0,07","1,01 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","3,00 %","-7,57 %","-6,64 %","5,15 %","64.507.809,24",N/A,N/A,"0,00 %","-100,00 %","-100,00 %","-100,00 %",14,"1.136,84",5.521,N/A,"20,00 % a.a","0,95 % a.a"
VIGT11,N/A,"52,5","572.188,10",N/A,"0,25","0,52 %","1,60 %","3,19 %","5,70 %","0,53 %","0,53 %","0,48 %","2,14 %","4,75 %","5,30 %","19,30 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"2.855,48",0,N/A,"0,00 % a.a","1,50 % a.a"
VILG11,Imóveis Industriais e Logísticos,101,"2.183.490,55","0,9","0,82","0,83 %","2,41 %","4,76 %","9,99 %","0,80 %","0,79 %","0,83 %","3,17 %","-4,26 %","-3,46 %","9,97 %","1.686.306.976,86","112,44","0,9","0,73 %","0,15 %","0,88 %","7,12 %",11,"1.349,71",148.166,N/A,N/A,N/A
VINO11,Lajes Corporativas,5,"561.705,55","0,52","0,05","0,82 %","2,74 %","5,78 %","12,80 %","0,91 %","0,96 %","1,07 %","1,79 %","7,39 %","8,27 %","7,03 %","816.535.746,28","9,89","0,51","0,46 %","-81,94 %","-81,85 %","-80,77 %",9,"1.681,23",131.566,N/A,"20,00 % a.a","1,10 % a.a"
VISC11,Shoppings,"110,12","4.532.002,10","0,95","0,84","0,77 %","2,25 %","4,55 %","9,44 %","0,75 %","0,76 %","0,79 %","1,51 %","0,24 %","1,01 %","1,26 %","3.362.434.167,27","118,07","0,93","0,71 %","-4,65 %","-3,97 %","10,34 %",31,"1.058,08",343.939,"1,05 % a.a",N/A,N/A
VIUR11,Misto,"2,22","790.940,95","0,29","0,26","4,48 %","7,98 %","11,99 %","20,00 %","2,66 %","2,00 %","1,67 %","9,49 %","-0,68 %","3,77 %","16,73 %","206.251.746,87","7,67","0,29","2,69 %","-16,63 %","-14,38 %","-91,08 %",1,"6.473,61",38.079,N/A,"20,00 % a.a","0,95 % a.a"
VJFD11,Papéis,"134,49","79,71","0,79","0,85","0,00 %","0,00 %","0,00 %","1,46 %","0,00 %","0,00 %","0,12 %","0,00 %","0,00 %","0,00 %",N/A,"833.078.070,36","170,85","0,79","0,50 %","25,56 %","26,19 %","33,46 %",39,"2.770,75",104,N/A,N/A,N/A
VLIQ11,Indefinido,N/A,N/A,N/A,"5,04","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"118.155.565,38",N/A,N/A,N/A,N/A,N/A,N/A,14,N/A,8.102,N/A,N/A,N/A
VLOL11,Lajes Corporativas,88,"160.238,13","1,38","16,3","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","1,99 %","0,00 %","0,00 %",N/A,"118.155.565,38","111,06","0,79","0,55 %","-0,14 %","0,40 %","14,11 %",14,"9,89",8.102,N/A,N/A,N/A
VOTS11,Papéis,"89,59","1.422,90","0,95","0,71","0,89 %","3,31 %","4,35 %","9,49 %","1,10 %","0,73 %","0,79 %","2,48 %","3,82 %","4,74 %","7,52 %","77.068.514,03","93,61","0,96","0,76 %","0,34 %","1,10 %","10,19 %",14,"4.798,77",531,N/A,N/A,N/A
